company_id,company_name,address,phone_number,email_address
1,Apple Inc.,address1,1111111111,comp1@gmail.com
2,Microsoft Corporation,address2,1111111112,comp2@gmail.com
3,Tesla Inc.,address3,1111111113,comp3@gmail.com
4,Johnson & Johnson,address4,1111111114,comp4@gmail.com
5,Amazon.com Inc.,address5,1111111115,comp5@gmail.com
6,Facebook Inc.,address6,1111111116,comp6@gmail.com
7,JPMorgan Chase & Co.,address7,1111111117,comp7@gmail.com
8,Netflix Inc.,address8,1111111118,comp8@gmail.com
9,The Coca-Cola Company,address9,1111111119,comp9@gmail.com
10,The Boeing Company,address10,1111111110,comp10@gmail.com
